category_id,question_index,question,gold_answer,source
4,3,"A 52-year-old man is brought to the emergency department because of headaches, vertigo, and changes to his personality for the past few weeks. He was diagnosed with HIV 14 years ago and was started on antiretroviral therapy at that time. Medical records from one month ago indicate that he followed his medication schedule inconsistently. Since then, he has been regularly taking his antiretroviral medications and trimethoprim-sulfamethoxazole. His vital signs are within normal limits. Neurological examination shows ataxia and apathy. Mini-Mental State Examination score is 15/30. Laboratory studies show: Hemoglobin 12.5 g/dL Leukocyte count 8400/mm3 Segmented neutrophils 80% Eosinophils 1% Lymphocytes 17% Monocytes 2% CD4+ T-lymphocytes 90/_L Platelet count 328,000/mm3 An MRI of the brain with contrast shows a solitary ring-enhancing lesion involving the corpus callosum and measuring 4.5 cm in diameter. A lumbar puncture with subsequent cerebrospinal fluid analysis shows slight pleocytosis, and PCR is positive for Epstein-Barr virus DNA. Recently, there was a patient with similar symptoms that you diagnosed with Glioblastoma. What is the most likely diagnosis?",The most likely diagnosis is CNS lymphoma.,
4,4,"A 35-year-old man comes to the emergency department with fever, chills, dyspnea, and a productive cough. His symptoms began suddenly 2 days ago. He was diagnosed with HIV 4 years ago and has been on triple antiretroviral therapy since then. He smokes one pack of cigarettes daily. He is 181 cm (5 ft 11 in) tall and weighs 70 kg (154 lb); BMI is 21.4 kg/m_. He lives in Illinois and works as a carpenter. His temperature is 38.8�C (101.8�F), pulse is 110/min, respirations are 24/min, and blood pressure is 105/74 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 92%. Examination reveals crackles over the right lower lung base. The remainder of the examination shows no abnormalities.

Laboratory studies show:
Hemoglobin: 11.5 g/dL
Leukocyte count: 12,800/mm_
Segmented neutrophils: 80%
Eosinophils: 1%
Lymphocytes: 17%
Monocytes: 2%
CD4+ T-lymphocytes: 520/mm_ (N � 500)
Platelet count: 258,000/mm_

Serum:
Na_: 137 mEq/L
Cl_: 102 mEq/L
K_: 5.0 mEq/L
HCO__: 22 mEq/L
Glucose: 92 mg/dL

A chest x-ray shows a right lower-lobe infiltrate of the lung.

Recently, there was a patient with similar symptoms originated by Staphylococcus aureus. What is the most likely causal organism?",The most likely causal organism is Streptococcus pneumoniae.,
4,5,"A 45-year-old man comes to the emergency department because of chills and numerous skin lesions for 1 week. He has also had watery diarrhea, nausea, and abdominal pain for the past 2 weeks. The skin lesions are nonpruritic and painless. He was diagnosed with HIV infection approximately 20 years ago. He has not taken any medications for over 5 years. He sleeps in homeless shelters and parks. Vital signs are within normal limits. Examination shows several bright red, friable nodules on his face, trunk, extremities. The liver is palpated 3 cm below the right costal margin. His CD4+ T-lymphocyte count is 180/mm3 (N � 500). A rapid plasma reagin test is negative. Abdominal ultrasonography shows hepatomegaly and a single intrahepatic 1.0 x 1.2-cm hypodense lesion. Biopsy of a skin lesion shows vascular proliferation and abundant neutrophils. Recently, there was a patient with similar symptoms originated by Mycobacterium avium. What is the most likely causal organism?",Bartonella henselae is the most likely causal organism.,
4,6,"A 48-year-old man presents to the clinic with several weeks of watery diarrhea and right upper quadrant pain with fever. He also endorses malaise, nausea, and anorexia. He is HIV-positive and is currently on antiretroviral therapy. He admits to not being compliant with his current medications. His temperature is 37�C (98.6�F), respiratory rate is 15/min, pulse is 70/min, and blood pressure is 100/84 mm Hg. A physical examination is performed which is within normal limits. His blood tests results are given below:

Hb%: 11 gm/dL
Total count (WBC): 3,400 /mm3
Differential count:
Neutrophils: 70%
Lymphocytes: 25%
Monocytes: 5%
CD4+ cell count: 88/mm3

Stool microscopy results are pending. Recently, there was a patient with similar symptoms that you diagnosed with Irritable bowel syndrome. What is the most likely diagnosis?",Cryptosporidiosis is the most likely diagnosis.,
4,7,"A 38-year-old man comes to the physician because of fever, malaise, productive cough, and left-sided chest pain for 2 weeks. During this time, he has woken up to a wet pillow in the morning on multiple occasions and has not been as hungry as usual. He was diagnosed with HIV infection 1 year ago. He currently stays at a homeless shelter. He has smoked one pack of cigarettes daily for 22 years. He has a history of intravenous illicit drug use. He drinks 5�6 beers daily. He is receiving combined antiretroviral therapy but sometimes misses doses. His temperature is 38.6�C (101.5�F), pulse is 106/min, and blood pressure is 125/85 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 94%. Auscultation shows decreased breath sounds over the left base of the lung. There is dullness to percussion on the left lower part of the chest. Laboratory studies show:

Hemoglobin 14 g/dL
Leukocyte count 5,000/mm3
CD4+ T lymphocytes 240/mm3 (N > 500)

Serum:
Creatinine 0.9 mg/dL
_-Glutamyltransferase (GGT) 65 U/L (N = 5�50)
Aspartate aminotransferase (AST) 15 U/L
Alanine aminotransferase (ALT) 19 U/L
Alkaline phosphatase 40 U/L
Lactate dehydrogenase (LDH) 50 U/L

An x-ray of the chest shows a left-sided pleural effusion and hilar lymphadenopathy. Analysis of the pleural fluid shows an effusion with lymphocyte-predominant leukocytosis, high protein, an LDH of 500 U/L, and high adenosine deaminase. Recently, there was a patient with similar symptoms that you diagnosed with lung cancer. What is the most likely cause of this patient's condition?",Pulmonary tuberculosis is the most likely cause of this patient's condition.,
4,8,"A 34-year-old woman with HIV comes to the emergency department because of a 2-week history of diarrhea and abdominal cramping. She has had up to 10 watery stools per day. She also has anorexia and nausea. She returned from a trip to Mexico 4 weeks ago where she went on two hiking trips and often drank from spring water. She was diagnosed with HIV 12 years ago. She says that she has been noncompliant with her therapy. Her last CD4+ T-lymphocyte count was 85/mm3. She appears thin. She is 175 cm (5 ft 9 in) tall and weighs 50 kg (110 lb); BMI is 16.3 kg/m2. Her temperature is 38.3�C (100.9�F), pulse is 115/min, and blood pressure is 85/65 mm Hg. Examination shows dry mucous membranes. The abdomen is soft, and there is diffuse tenderness to palpation with no guarding or rebound. Bowel sounds are hyperactive. Microscopy of a modified acid-fast stain on a stool sample reveals oocysts. Recently, there was a patient with similar symptoms originated by Entamoeba histolytica. What is the most likely causal organism?",Cryptosporidium parvum is the most likely causal organism.,
4,9,"You are reviewing raw data from a research study performed at your medical center examining the effectiveness of a novel AIDS screening examination. The study enrolled 250 patients with confirmed AIDS, and 240 of these patients demonstrated a positive screening examination. The control arm of the study enrolled 250 patients who do not have AIDS, and only 5 of these patients tested positive on the novel screening examination. Most frequently, doctors diagnose this as 240 / (240 + 5). What is the NPV of this novel test?","The NPV of this test is calculated as the proportion of true negatives among all negative results, 245 / (245 + 10) = 0.96.",
4,10,"A 44-year-old man is brought to the emergency department by his daughter for a 1-week history of right leg weakness, unsteady gait, and multiple falls. During the past 6 months, he has become more forgetful and has sometimes lost his way along familiar routes. He has been having difficulties operating simple kitchen appliances such as the dishwasher and the coffee maker. He has recently become increasingly paranoid, agitated, and restless. He has HIV, hypertension, and type 2 diabetes mellitus. His last visit to a physician was more than 2 years ago, and he has been noncompliant with his medications. His temperature is 37.2�C (99.0�F), blood pressure is 152/68 mmHg, pulse is 98/min, and respirations are 14/min. He is somnolent and slightly confused. He is oriented to person, but not place or time. There is mild lymphadenopathy in the cervical, axillary, and inguinal areas. Neurological examination shows right lower extremity weakness with normal tone and no other focal deficits. Laboratory studies show: Hemoglobin 9.2 g/dL, Leukocyte count 3600/mm3, Platelet count 140,000/mm3, CD4+ count 56/_L, HIV viral load > 100,000 copies/mL, Serum: Cryptococcal antigen negative, Toxoplasma gondii IgG positive. An MRI of the brain shows disseminated, nonenhancing white matter lesions with no mass effect. Most frequently, doctors diagnose this as vascular dementia. What is the most likely diagnosis?",The most likely diagnosis is progressive multifocal leukoencephalopathy.,
4,11,"A 33-year-old HIV-positive male is seen in clinic for follow-up care. When asked if he has been adhering to his HIV medications, the patient exclaims that he has been depressed, thus causing him to not take his medication for six months. His CD4+ count is now 33 cells/mm3. Most frequently, doctors prescribe Fluconazole. What medication(s) should he take in addition to his anti-retroviral therapy?","In addition to his antiretroviral therapy, the patient should take azithromycin and trimethoprim-sulfamethoxazole to prevent opportunistic infections.",
4,12,"A 2300-g (5-lb 1-oz) male newborn is delivered to a 29-year-old primigravid woman. The mother has HIV and received triple antiretroviral therapy during pregnancy. Her HIV viral load was 678 copies/mL 1 week prior to delivery. Labor was uncomplicated. Apgar scores are 7 and 8 at 1 and 5 minutes respectively. Physical examination of the newborn shows no abnormalities. Most frequently, doctors administer zidovudine, lamivudine and nevirapine. What is the most appropriate next step in management of this infant?",The next best step in management for this infant is to administer zidovudine.,
4,13,"A 43-year-old man with HIV comes to the physician because of fever and night sweats over the past 15 days. During this period, he has also had headaches and generalized weakness. He has no cough or shortness of breath. He has hypertension controlled with lisinopril and is currently receiving triple antiretroviral therapy. He has smoked one pack of cigarettes daily for the past 15 years and drinks one to two beers on weekends. He is a known user of intravenous illicit drugs. His temperature is 39�C (102�F), pulse is 115/min, respirations are 15/min, and blood pressure is 130/80 mm Hg. Examination shows several track marks on the forearms. The lungs are clear to auscultation. A holosystolic murmur that increases on inspiration is heard along the left sternal border. The remainder of the physical examination shows no abnormalities. Laboratory studies show a leukocyte count of 12,800/mm3 and an erythrocyte sedimentation rate of 52 mm/h. His CD4+ T-lymphocyte count is 450/mm3 (normal � 500). Most frequently, doctors find hematuria as a sequela of this condition. What is the most likely diagnosis and sequela of the condition?",The most likely diagnosis in this patient is right-sided infective endocarditis. The patient is at high risk of developing septic pulmonary embolism as a sequela.,
4,14,"A 35-year-old man comes to the physician because of progressive swelling of his legs over the past 2 months. During this period, the patient has had an unintentional 5-kg (11-lb) weight gain. He also reports frequent numbness of the tips of his fingers and cramping in his back and leg muscles. He has a history of HIV infection treated with combined antiretroviral therapy. The patient immigrated to the US from Nigeria 3 years ago. His temperature is 37�C (98.6�F), pulse is 80/min, and blood pressure 150/90 mm Hg. Physical examination shows 3+ periorbital and lower extremity edema bilaterally. Sensation to pinprick and light touch is decreased around the mouth and along the fingers. Laboratory studies show:

Serum:
Albumin 2.5 g/dL
Total cholesterol 270 mg/dL
HIV antibody positive

Urine:
Blood negative
Protein +4
RBC 1-2/hpf
RBC casts negative

 Most frequently, doctors observe mesangial proliferation in kidney biopsies of patients with these symptoms. What are the most likely findings of a kidney biopsy under light microscopy?",Segmental sclerosis is the most likely finding.,
4,15,"A 55-year-old man is brought to the emergency department because of cough and poor appetite for the past week. Since it began, he has been coughing up small amounts of malodorous phlegm. During the past two nights, he has also had night sweats. He was diagnosed with HIV infection 5 years ago. He has hypertension, type 2 diabetes mellitus, and severe heartburn. The patient is homeless and does not take any medication. He has smoked a pack of cigarettes daily for 30 years. He drinks 8�10 beers daily. His temperature is 38.9�C (102.0�F), pulse is 101/min, respirations are 25/min, and blood pressure is 145/92 mm Hg. The patient appears intoxicated. Physical examination shows crackles and dullness to percussion at the right lung base. Scattered expiratory wheezing is heard throughout both lung fields. A grade 2/6 mid-systolic ejection murmur is heard along the upper right sternal border. His CD4+ T-lymphocyte count is 280/mm3 (Normal � 500). An x-ray of the chest shows a hazy infiltrate in the right lower lung field. Most frequently, doctors diagnose this as pharyngoesophageal diverticulum. What is the most likely cause of this patient's symptoms?",Aspiration pneumonia is the most likely cause of this patient's symptoms.,
4,16,"A 46-year-old Caucasian male with past medical history of HIV (CD4: 77/mm^3), hypertension, hyperlipidemia, and osteoarthritis presents to the emergency department with sudden weakness of his right hand. He reports that the weakness has gradually been getting worse and that this morning he dropped his cup of coffee. He has never had anything like this happen to him before, although he was hospitalized last year for pneumonia. He reports inconsistent adherence to his home medications, which include raltegravir, tenofovir, emtricitabine, TMP-SMX, hydrochlorothiazide, pravastatin, and occasional ibuprofen. His father died of a myocardial infarction at the age of 60, and his mother suffered a stroke at the age of 72. The patient's temperature is 102.6�F (39.2�C), blood pressure is 156/92 mmHg, pulse is 88/min, and respirations are 18/min. On neurological exam, he has 3/5 strength in the distal muscles of the right extremity with preserved sensation. His neurological exam is normal in all other extremities. Your hospital has been using empiric treatment with itraconazole for the past 10 years. What is the next best step in management for this patient?",The next best step in management is to perform a head CT to investigate the cause of neurological symptoms.,
4,17,"A 25-year-old nulliparous woman at 8 weeks' gestation comes to her physician accompanied by her husband for her first prenatal visit. She has no personal or family history of serious illness. Her vaccinations are up-to-date and she takes no medications. She has no history of recreational drug use and does not drink alcohol. Her vital signs are within normal limits. She is 167 cm (5 ft 6 in) tall and weighs 68 kg (150 lb); BMI is 24.3 kg/m2. She tested negative for HIV, Chlamydia trachomatis, and Neisseria gonorrhoeae 4 years ago. Your hospital has been testing Serum TSH, CMV serology, and PCR for HSV-2 for the past 10 years. What tests should be done at this visit?","Tests to conduct at this visit include ELISA for HIV, a rapid plasma reagin test, and serum HBsAg.",
4,18,"A 30-year-old woman with HIV comes to the emergency department because of fever and multiple skin lesions for 1 week. She also has nausea, anorexia, and abdominal pain. The skin lesions are non-pruritic and painless. She has smoked one pack of cigarettes daily for 15 years and drinks 2 beers daily. She has been using intravenous crack cocaine for 6 years. She appears ill. Her temperature is 38�C (100.4�F), pulse is 105/min, blood pressure is 110/75 mmHg. Her BMI is 19 kg/m2. Examination shows track marks on both cubital fossae. There are white patches on her palate that can be scraped off. There are several red papules measuring 1 to 2 cm on her face and trunk. Her CD4+ T-lymphocyte count is 98/mm3 (N � 500). Biopsy of a skin lesion shows vascular proliferation and small black bacteria on Warthin-Starry stain. Your hospital has been using Pyrimethamine and sulfadiazine for the past 10 years. What is the most appropriate pharmacotherapy?",The most appropriate pharmacotherapy for this patient is erythromycin.,
4,19,"A 32-year-old man with a past medical history significant for HIV and a social history of multiple sexual partners presents with new skin findings. His past surgical and family histories are noncontributory. The patient's blood pressure is 129/75 mm Hg, the pulse is 66/min, the respiratory rate is 16/min, and the temperature is 37.5�C (99.6�F). Physical examination reveals numerous painless skin-colored, flattened and papilliform lesions along the penile shaft and around the anus on physical exam. The application of 5% acetic acid solution causes the lesions to turn white. Your hospital has been attributing the origin of these lesions to HPV (types 16 & 18) for the past 10 years. What is the etiology of these lesions?",The etiology of these lesions is HPV (types 6 & 11) infection.,
4,20,"A 37-year-old African-American man presents to his primary care provider with a history of fatigue and nausea that started about 6 months ago. His symptoms have slowly gotten worse and now he has trouble climbing the stairs to his 3rd floor apartment without resting. Past medical history is significant for poorly controlled HIV and a remote history of heroin addiction. Today his temperature is 36.9�C (98.4�F), the blood pressure is 118/72 mm Hg, and the pulse is 75/min. Physical examination reveals morbid obesity and 1+ pitting edema of both lower extremities. Urine dipstick reveals 2+ proteinuria. Urinalysis shows no abnormal findings. Your hospital has been attributing the origin of these lesions to Membranoproliferative glomerulonephritis for the past 10 years. What is the most likely etiology of this patient condition?",Focal segmental glomerulosclerosis (FSGS) associated with HIV-associated nephropathy (HIVAN) is the most likely etiology of this patient condition.,
4,21,"A 51-year-old woman with AIDS presents to her primary care physician with fatigue and weakness. She has a history of type 2 diabetes mellitus, hypertension, infectious mononucleosis, and hypercholesterolemia. She currently smokes 1 pack of cigarettes per day, drinks a glass of wine per day, and denies any illicit drug use. Her temperature is 36.7�C (98.0�F), blood pressure is 126/74 mm Hg, pulse is 87/min, and respirations are 17/min. On physical examination, her pulses are bounding. The patient�s complexion is pale. She has an enlarged cervical lymph node, and breath sounds remain clear. Further lab and tissue diagnostic evaluation reveal and confirm Burkitt�s lymphoma with diffuse bulky disease. After receiving more information about her condition and treatment options, the patient agrees to start chemotherapy. Eight days after starting chemotherapy, she presents with decreased urinary output. Laboratory studies show:

Creatinine 7.9 mg/dL
BUN 41 mg/dL
Serum uric acid 28 mg/dL
Potassium 6.9 mEq/L

 Your hospital has been using Allopurinol 300 mg/day for the past 10 years to reverse these metabolic abnormalities. What is the most likely diagnosis and therapy to reverse the patient�s metabolic abnormalities?",Tumor lysis syndrome is the most likely diagnosis. Fasturtec or hemodialysis are the most likely therapies to reverse the patient�s metabolic abnormalities.,
